id,rating,might,fights
788547,453,13242,500
133188,-6,2446,247
133191,2720,36539,498
1312841,340,11253,500
526410,24,3734,432
526411,1847,30924,500
657485,720,18454,500
1443926,257,9028,499
526423,471,15951,500
788569,713,19373,500
788571,1129,24335,500
395356,2447,34415,500
788575,1400,26873,500
1312864,296,10374,500
1181793,1116,24495,500
133221,3038,38247,493
526439,283,8717,495
788585,1849,30624,500
1050730,814,20877,500
133227,2208,32596,500
657516,1193,25257,500
657517,1261,25996,500
395377,809,20390,500
133242,2646,35582,500
1466551,43,3932,438
133246,1963,31569,500
808641,389,13307,500
526473,843,21667,500
526474,141,6446,493
1050764,1205,25445,500
657549,1618,29049,500
133262,1642,29226,500
395407,1004,23103,500
1545113,-1,1942,160
1050773,1368,26900,500
1050774,377,13121,500
264343,2646,35912,498
1038829,1702,29413,500
526494,1581,28621,500
133279,1259,26211,500
1050787,730,19797,500
1464006,-7,3132,351
133288,1039,23375,500
264362,353,10584,498
788652,855,21453,500
1312944,271,9351,500
1048947,454,14734,500
395444,801,20802,500
371742,1453,27853,500
1444024,-2,2143,187
1312953,24,3776,424
1549479,-5,3037,341
1540750,156,6764,495
264383,662,18028,500
919744,1139,24857,500
526529,928,22174,500
1180022,121,6219,491
788678,1532,28331,500
1444039,-1,2609,268
1511339,-5,3234,363
133321,2388,34195,499
919755,2524,34887,500
175138,1033,24143,500
788699,951,21849,500
788704,1079,24112,500
808657,1118,24241,500
657641,1483,28413,500
1551399,-7,2048,173
395501,1405,27021,500
788719,1608,29036,500
1444080,84,4356,459
395505,2774,36443,498
133362,2348,33615,500
395511,1113,24434,500
1339984,294,10736,500
1331255,573,17270,500
395517,2351,33526,500
1181950,811,21215,500
788738,1173,25321,500
1181955,1057,24218,500
788741,1182,25451,500
919816,548,16740,500
1181961,479,14825,500
1444107,123,5037,469
395534,1534,28082,500
1543907,79,4866,470
395537,1441,27338,500
133395,2827,37168,498
1313044,485,14777,500
1181976,769,19909,500
395546,1372,27047,500
788768,2303,33595,500
526625,752,20468,500
874203,1249,25693,500
264485,760,20069,500
133415,1556,28818,500
1518931,289,8843,496
1510202,235,8775,499
788780,757,20790,500
1444142,-1,2279,214
395569,1186,25516,500
788787,1190,25444,500
788791,913,22457,500
788794,993,23061,500
1114506,1099,24489,500
526654,704,19537,500
919871,1708,30015,500
1050946,98,5257,473
788803,1182,25306,500
1444167,1,3053,337
264520,687,19252,500
1376652,588,17301,500
395596,1361,26747,500
788814,543,16338,500
395605,1506,28207,500
395606,938,22284,500
395607,436,14966,500
1182040,1430,27169,500
264540,1571,28558,500
1050977,1001,22976,500
133474,1707,28829,500
175164,1231,25381,500
1492746,-2,2005,182
919915,1301,26973,500
919919,696,19789,500
133489,642,17455,500
133490,1985,31650,500
1182067,1413,27056,500
1313140,461,14991,500
1051004,801,20808,500
